,d_name,model_name,split_idx,n_splits,random_state,fit_time,test_size,test_mse,train_mse
668,calhousing,xgb-d3,6,10,1377,0.7123136520385742,0.15,0.2765364975873991,0.2085864338609056
669,calhousing,skgbt-d3,6,10,1377,1.1408305168151855,0.15,0.2812698743004972,0.1866424430141055
670,calhousing,skgbt-d3-o20,6,10,1377,97.38222408294678,0.15,0.2128146385817211,0.0764011141715236
671,calhousing,xgb-d3,7,10,1377,0.7071743011474609,0.15,0.2785468677688845,0.1999418520404614
672,calhousing,skgbt-d3,7,10,1377,1.3356726169586182,0.15,0.2879154707710627,0.1792013829891746
673,calhousing,skgbt-d3-o20,7,10,1377,87.55720114707947,0.15,0.2196179301747128,0.0791894662712225
674,calhousing,xgb-d3,8,10,1377,0.5883800983428955,0.15,0.2581913184126941,0.2139024488727059
675,calhousing,skgbt-d3,8,10,1377,1.522573947906494,0.15,0.2721574483380496,0.1684395017833859
676,calhousing,skgbt-d3-o20,8,10,1377,72.43298721313477,0.15,0.1905383549529817,0.0879704984633969
677,calhousing,xgb-d3,9,10,1377,0.7141089439392091,0.15,0.2741001656224048,0.2072923288383781
678,calhousing,skgbt-d3,9,10,1377,1.5999629497528076,0.15,0.2818601885468563,0.1726326017184397
679,calhousing,skgbt-d3-o20,9,10,1377,101.4659523963928,0.15,0.2036835973830024,0.0747567483478519
775,calhousing,flam,0,10,1377,9.22521162033081,0.15,0.3060097608344856,0.276965706291453
781,calhousing,flam,1,10,1377,8.570363759994509,0.15,0.3219170678241441,0.2777617804103009
786,calhousing,flam,2,10,1377,8.46460485458374,0.15,0.2980975351775166,0.2714149240074924
788,calhousing,flam,3,10,1377,7.796657085418701,0.15,0.27473390641329,0.2826889622111661
790,calhousing,flam,4,10,1377,7.776782274246216,0.15,0.3041668135320178,0.2750608350295846
794,calhousing,flam,5,10,1377,7.99619197845459,0.15,0.2840875119322589,0.2789659057999714
796,calhousing,flam,6,10,1377,7.805580615997314,0.15,0.3034039770740597,0.2827355236135821
798,calhousing,flam,7,10,1377,7.948786735534668,0.15,0.3099776203140044,0.2734453518147811
800,calhousing,flam,8,10,1377,8.187444925308228,0.15,0.2883287262874185,0.2730104312821995
801,calhousing,flam,9,10,1377,7.570605754852295,0.15,0.2996527721850752,0.2734688220049047
880,calhousing,skgbt-d1-o20,0,10,1377,5.424581527709961,0.15,0.3134481563942692,0.2767836259676236
881,calhousing,skgbt-d1-o20,1,10,1377,6.048993110656737,0.15,0.3354397010384695,0.2736457721468139
882,calhousing,skgbt-d1-o20,2,10,1377,5.067197799682617,0.15,0.3052325149402793,0.2795633947066334
883,calhousing,skgbt-d1-o20,3,10,1377,5.5725531578063965,0.15,0.2882765291659022,0.2799475230037304
884,calhousing,skgbt-d1-o20,4,10,1377,5.28092885017395,0.15,0.3152239690558902,0.274600214707912
885,calhousing,skgbt-d1-o20,5,10,1377,5.769764184951782,0.15,0.2917014804029571,0.2777502584745167
886,calhousing,skgbt-d1-o20,6,10,1377,4.655586004257202,0.15,0.3123142639446309,0.2795738412956533
887,calhousing,skgbt-d1-o20,7,10,1377,4.690373659133911,0.15,0.313529413397893,0.2752629335891744
888,calhousing,skgbt-d1-o20,8,10,1377,4.603902101516724,0.15,0.293080406903882,0.2812770085681724
889,calhousing,skgbt-d1-o20,9,10,1377,4.4648542404174805,0.15,0.3093054782089128,0.2803260374775073
1023,calhousing,xgb-d1-o20-cv,0,5,1377,42.11323595046997,0.15,0.3171238004731879,0.2769580347442723
1024,calhousing,skgbt-d1-o20-cv,0,5,1377,1959.10457611084,0.15,0.3156988391028627,0.289857885601944
1025,calhousing,ebm-o50-i50,0,5,1377,64.36751675605774,0.15,0.3725953393627125,0.3301178230624973
1026,calhousing,ebm-bf-o50,0,5,1377,2.5961530208587646,0.15,0.3686388487031617,0.338905112693783
1027,calhousing,xgb-d1-o20-cv,1,5,1377,36.07967066764832,0.15,0.3412239339531339,0.2759548999718989
1028,calhousing,skgbt-d1-o20-cv,1,5,1377,2029.358113527298,0.15,0.3390573789557224,0.2866636231563054
1029,calhousing,ebm-o50-i50,1,5,1377,56.103984117507935,0.15,0.3744428812915897,0.3309569438401383
1030,calhousing,ebm-bf-o50,1,5,1377,2.8944356441497803,0.15,0.3788675023909822,0.3405795564335753
1031,calhousing,xgb-d1-o20-cv,2,5,1377,38.36137795448303,0.15,0.3080243150591988,0.2780347383292076
1032,calhousing,skgbt-d1-o20-cv,2,5,1377,2107.886643409729,0.15,0.3080559009995943,0.2916720634501355
1033,calhousing,ebm-o50-i50,2,5,1377,59.37157487869264,0.15,0.3513911986535516,0.3348700823953149
1034,calhousing,ebm-bf-o50,2,5,1377,2.81784462928772,0.15,0.3497844531880064,0.3430521360983537
1035,calhousing,xgb-d1-o20-cv,3,5,1377,38.35660266876221,0.15,0.2926381327022825,0.2821709895213361
1036,calhousing,skgbt-d1-o20-cv,3,5,1377,1989.964307308197,0.15,0.2877953026588564,0.2928580051864281
1037,calhousing,ebm-o50-i50,3,5,1377,50.8530023097992,0.15,0.3405048115971333,0.3364858485988498
1038,calhousing,ebm-bf-o50,3,5,1377,2.492652177810669,0.15,0.3366278066007813,0.346015604485518
1039,calhousing,xgb-d1-o20-cv,4,5,1377,34.26175928115845,0.15,0.3191523740809433,0.2776408965056711
1040,calhousing,skgbt-d1-o20-cv,4,5,1377,1975.2622683048248,0.15,0.3185622861626498,0.287725429274922
1041,calhousing,ebm-o50-i50,4,5,1377,55.63456630706787,0.15,0.3761046836404141,0.3302151457333328
1042,calhousing,ebm-bf-o50,4,5,1377,2.6313700675964355,0.15,0.3750999078611297,0.3388885360936477
1091,calhousing,mlr-o20,0,5,1377,17.048807859420776,0.15,0.4792301885526468,0.4428250419739013
1092,calhousing,ilr-o20,0,5,1377,74.6805727481842,0.15,0.3575895107607601,0.3035682801490129
1093,calhousing,mlr-o20,1,5,1377,17.051257133483887,0.15,0.490976924108376,0.4395356296516811
1094,calhousing,ilr-o20,1,5,1377,76.11689305305481,0.15,0.3657144361843354,0.3042698882103625
1095,calhousing,mlr-o20,2,5,1377,16.976381778717037,0.15,0.4471813811507966,0.4435768695865714
1096,calhousing,ilr-o20,2,5,1377,71.2484860420227,0.15,0.3399833739632149,0.3046551878289761
1097,calhousing,mlr-o20,3,5,1377,16.872928380966187,0.15,0.4471066458092059,0.4558572419303452
1098,calhousing,ilr-o20,3,5,1377,71.45214080810547,0.15,0.3388200741077758,0.3156954050233119
1099,calhousing,mlr-o20,4,5,1377,17.21921420097351,0.15,0.4772305909223013,0.4392565459325636
1100,calhousing,ilr-o20,4,5,1377,72.62396216392517,0.15,0.3574419292043344,0.298164807232939
1135,calhousing,spline-v2,0,5,1377,33.63694000244141,0.15,0.3368691065768928,0.3178577510333193
1136,calhousing,spline-v2,1,5,1377,29.6128671169281,0.15,0.3557527136312544,0.3199353630018851
1137,calhousing,spline-v2,2,5,1377,29.80045223236084,0.15,0.3278560448051324,0.3253468363107112
1138,calhousing,spline-v2,3,5,1377,29.565691471099854,0.15,0.3158519694800212,0.3238993321007397
1139,calhousing,spline-v2,4,5,1377,29.11043667793274,0.15,0.4482640676293893,0.321893406761379
1375,calhousing,xgb-d3-o20-cv,0,5,1377,42.28029346466065,0.15,0.2139652172054842,0.0831947311256069
1376,calhousing,xgb-d3-o20-cv,1,5,1377,40.29034924507141,0.15,0.2280967360680801,0.092774529313753
1377,calhousing,xgb-d3-o20-cv,2,5,1377,42.569939136505134,0.15,0.2123678812193785,0.0844389302608868
1378,calhousing,xgb-d3-o20-cv,3,5,1377,39.061955690383904,0.15,0.1808394004356824,0.0925814839057916
1379,calhousing,xgb-d3-o20-cv,4,5,1377,41.12858080863953,0.15,0.2177645211313809,0.086470825409491
1531,calhousing,skgbt-d3-cv,0,5,1377,168.64441466331482,0.15,0.2189793348624303,0.141104375031147
1532,calhousing,skgbt-d3-cv,1,5,1377,167.34363317489627,0.15,0.2424560005713949,0.1532868949471069
1533,calhousing,skgbt-d3-cv,2,5,1377,168.02141046524045,0.15,0.2188674125498864,0.1448491704335391
1534,calhousing,skgbt-d3-cv,3,5,1377,201.6407306194305,0.15,0.1925736027945704,0.1681668376428881
1535,calhousing,skgbt-d3-cv,4,5,1377,211.0423963069916,0.15,0.2338842628063203,0.1726803924189145
1553,calhousing,ebm-o50-i50-cv,0,5,1377,7048.63742351532,0.15,0.3725862746869877,0.3303347615879505
1554,calhousing,ebm-o50-cv,0,5,1377,790.5523438453674,0.15,0.3723846969987822,0.330960659947537
1555,calhousing,skgbt-d3-o20-cv,0,5,1377,3150.649060487747,0.15,0.2026500389552529,0.0674704320901494
1557,calhousing,skgbt-d3-o20-cv,1,5,1377,3072.851410865784,0.15,0.2136267589605014,0.0677817459387182
1559,calhousing,skgbt-d3-o20-cv,2,5,1377,3004.302054643631,0.15,0.2036149492565604,0.0720482802736861
1560,calhousing,ebm-o50-i50-cv,1,5,1377,7533.544162511826,0.15,0.3736968763067552,0.3312017920431999
1561,calhousing,ebm-o50-cv,1,5,1377,728.6938481330873,0.15,0.3766702115004572,0.3321752470331493
1562,calhousing,skgbt-d3-o20-cv,3,5,1377,3044.072770833969,0.15,0.1716589027609753,0.0719984633409299
1569,calhousing,skgbt-d3-o20-cv,4,5,1377,2707.730907917023,0.15,0.2086969062452562,0.0694117948876977
1570,calhousing,ebm-o50-i50-cv,2,5,1377,6898.983735322951,0.15,0.3510494406080586,0.3349651084801894
1571,calhousing,ebm-o50-cv,2,5,1377,791.6293475627899,0.15,0.3543730482535666,0.3345946246438094
1572,calhousing,ebm-o50-i50-cv,3,5,1377,7652.8544714450845,0.15,0.3404740245193273,0.3367908146089624
1573,calhousing,ebm-o50-cv,3,5,1377,815.1277968883514,0.15,0.3417598691073418,0.3368671287002814
1574,calhousing,ebm-o50-i50-cv,4,5,1377,7027.296476364136,0.15,0.3757686629531359,0.3304716087614489
1575,calhousing,ebm-o50-cv,4,5,1377,789.957771062851,0.15,0.3786798622194161,0.3305039658883024
1688,calhousing,ebm-bf-o50-q,0,5,1377,4.298685312271118,0.15,0.3102797604819407,0.284622446482085
1689,calhousing,ilr-q,0,5,1377,23.06752061843872,0.15,0.3297438805334247,0.2594361280073815
1690,calhousing,ebm-bf-o50-q,1,5,1377,2.8377225399017334,0.15,0.3289203727614942,0.2801713097518755
1693,calhousing,ilr-q,1,5,1377,19.29247283935547,0.15,0.3425253531083638,0.2565071782265029
1694,calhousing,ebm-bf-o50-q,2,5,1377,3.010360717773437,0.15,0.300431471860119,0.2849628277192449
1697,calhousing,ilr-q,2,5,1377,9.940174102783203,0.15,0.32261638509336,0.2612784132584008
1698,calhousing,ebm-bf-o50-q,3,5,1377,5.167762756347656,0.15,0.2748673882469122,0.2899293516112222
1700,calhousing,ilr-q,3,5,1377,17.839785099029537,0.15,0.2979403669502126,0.2645983331927651
1702,calhousing,ebm-bf-o50-q,4,5,1377,4.594202756881714,0.15,0.3103888158240831,0.2829094024985093
1703,calhousing,ilr-q,4,5,1377,22.214948415756226,0.15,0.3214389807856933,0.2603329153821999
1721,calhousing,ebm-o50-i50-q,0,5,1377,51.92162036895752,0.15,0.3140157412850702,0.2735600240201737
1722,calhousing,mlr-q,0,5,1377,0.827991247177124,0.15,0.4597936968416352,0.4064573214207601
1726,calhousing,ebm-o50-i50-q,1,5,1377,47.656917095184326,0.15,0.3304852415166629,0.2721519467878696
1727,calhousing,mlr-q,1,5,1377,2.457447290420532,0.15,0.4739126563398459,0.4021707202389911
1730,calhousing,ebm-o50-i50-q,2,5,1377,53.41211104393005,0.15,0.304229878976236,0.2759419967386082
1731,calhousing,mlr-q,2,5,1377,2.6626839637756348,0.15,0.4311544274265869,0.4105496134952476
1733,calhousing,ebm-o50-i50-q,3,5,1377,58.66468596458435,0.15,0.2781423014692563,0.2794358360342497
1734,calhousing,mlr-q,3,5,1377,0.9664845466613772,0.15,0.4102896492815339,0.4144351191507232
1736,calhousing,ebm-o50-i50-q,4,5,1377,53.081451177597046,0.15,0.3112296945483681,0.2746383149393773
1737,calhousing,mlr-q,4,5,1377,2.730263948440552,0.15,0.4518528477048834,0.4070091109768445
1838,calhousing,spline-b,0,5,1377,81.8331527709961,0.15,0.3368691065768928,0.3178577510333193
1839,calhousing,spline-b,1,5,1377,76.7696886062622,0.15,0.3557527136312544,0.3199353630018851
1840,calhousing,spline-b,2,5,1377,77.20235538482666,0.15,0.3278560448051324,0.3253468363107112
1841,calhousing,spline-b,3,5,1377,73.24258875846863,0.15,0.3158519694800212,0.3238993321007397
1842,calhousing,spline-b,4,5,1377,71.86924028396606,0.15,0.4482640676293893,0.321893406761379
1883,calhousing,rspline-v2,0,5,1377,15.827658414840698,0.15,0.3061753103336821,0.2898223535506353
1884,calhousing,rspline-v2,1,5,1377,18.636929988861088,0.15,0.3227429318224124,0.2870243075820638
1885,calhousing,rspline-v2,2,5,1377,18.8977210521698,0.15,0.2953302171569679,0.2911915200148034
1886,calhousing,rspline-v2,3,5,1377,16.662628412246704,0.15,0.2738248558084663,0.2951769224816032
1887,calhousing,rspline-v2,4,5,1377,17.617263793945312,0.15,0.3046423123517,0.2900385436307985
2000,calhousing,xgb-d1-o20-cols1,0,5,1377,339.57302451133734,0.15,0.3138875921517949,0.2750872661854929
2002,calhousing,xgb-d1-o20-cols0.5,0,5,1377,290.45529389381414,0.15,0.314196536917237,0.2775504694159174
2004,calhousing,xgb-d1-o20-cols0.1,0,5,1377,329.9222226142884,0.15,0.3177385423011846,0.2761691658985033
2008,calhousing,xgb-d1-o20-cols0.00001,0,5,1377,265.09672045707697,0.15,0.3177385423011846,0.2761691658985033
